Date,Close/Last,Open,High,Low,Volume
2016-12-14,19792.529297,19876.130859,19966.429688,19748.669922,408430000
2016-12-13,19911.210938,19852.210938,19953.75,19846.449219,388420000
2016-12-12,19796.429688,19770.199219,19824.589844,19747.740234,333660000
2016-12-09,19756.849609,19631.349609,19757.740234,19623.189453,334470000
2016-12-08,19614.810547,19559.939453,19664.970703,19527.830078,324570000
2016-12-07,19549.619141,19241.990234,19558.419922,19229.830078,385200000
2016-12-06,19251.779297,19219.910156,19255.890625,19184.740234,284960000
2016-12-05,19216.240234,19244.349609,19274.849609,19186.730469,317800000
2016-12-02,19170.419922,19161.25,19196.140625,19141.179688,84920000
2016-12-01,19191.929688,19149.199219,19214.300781,19138.789063,108800000
2016-11-30,19123.580078,19135.640625,19225.289063,19123.380859,164570000
2016-11-29,19121.599609,19064.070313,19144.400391,19062.220703,81510000
2016-11-28,19097.900391,19122.140625,19138.720703,19072.25,88460000
2016-11-25,19152.140625,19093.720703,19152.140625,19093.720703,45890000
2016-11-23,19083.179688,19015.519531,19083.759766,19000.380859,77880000
2016-11-22,19023.869141,18970.390625,19043.900391,18962.820313,85310000
2016-11-21,18956.689453,18898.679688,18960.759766,18883.099609,80520000
2016-11-18,18867.929688,18905.330078,18915.740234,18853.830078,109880000
2016-11-17,18903.820313,18866.220703,18904.029297,18845.269531,89940000
2016-11-16,18868.140625,18909.849609,18909.849609,18825.890625,87320000
2016-11-15,18923.060547,18858.210938,18925.259766,18806.060547,100660000
2016-11-14,18868.689453,18876.769531,18934.050781,18815.75,112250000
2016-11-11,18847.660156,18781.650391,18855.779297,18736.960938,107300000
2016-11-10,18807.880859,18603.140625,18873.660156,18603.140625,164390000
2016-11-09,18589.689453,18317.259766,18650.060547,18252.550781,173110000
2016-11-08,18332.740234,18251.380859,18400.5,18200.75,79820000
2016-11-07,18259.599609,17994.640625,18263.300781,17994.640625,93450000
2016-11-04,17888.279297,17928.349609,17986.759766,17883.560547,97760000
2016-11-03,17930.669922,17978.75,18006.960938,17904.070313,77860000
2016-11-02,17959.640625,18017.720703,18044.150391,17931.890625,88610000
2016-11-01,18037.099609,18158.240234,18177.009766,17940.839844,101280000
2016-10-31,18142.419922,18176.599609,18193.679688,18130.580078,110080000
2016-10-28,18161.189453,18193.789063,18257.060547,18094.970703,107850000
2016-10-27,18169.679688,18234.810547,18253.199219,18149.199219,83530000
2016-10-26,18199.330078,18103.800781,18236.039063,18062.300781,86340000
2016-10-25,18169.269531,18206.519531,18241.689453,18151.699219,83190000
2016-10-24,18223.029297,18197.140625,18275.039063,18191.179688,88540000
2016-10-21,18145.710938,18152.630859,18168.759766,18049.769531,117810000
2016-10-20,18162.349609,18161.869141,18249.050781,18129.070313,88830000
2016-10-19,18202.619141,18178.210938,18252.199219,18169.25,88040000
2016-10-18,18161.939453,18145.060547,18225.800781,18129.449219,74600000
2016-10-17,18086.400391,18135.849609,18162.279297,18063.019531,75960000
2016-10-14,18138.380859,18177.349609,18261.109375,18138.380859,87050000
2016-10-13,18098.939453,18088.320313,18137.699219,17959.949219,83160000
2016-10-12,18144.199219,18132.630859,18193.960938,18082.089844,72230000
2016-10-11,18128.660156,18308.429688,18312.330078,18061.960938,88610000
2016-10-10,18329.039063,18282.949219,18399.960938,18282.949219,72110000
2016-10-07,18240.490234,18295.349609,18319.730469,18149.349609,82680000
2016-10-06,18268.5,18280.419922,18288.119141,18162.970703,78660000
2016-10-05,18281.029297,18205.5,18315.820313,18205.5,76190000
2016-10-04,18168.449219,18267.679688,18313.769531,18116.259766,79710000
2016-10-03,18253.849609,18279.599609,18279.800781,18203.75,68520000
2016-09-30,18308.150391,18181.800781,18369.619141,18181.800781,135470000
2016-09-29,18143.449219,18322.880859,18366.230469,18091.640625,95880000
2016-09-28,18339.240234,18240.220703,18349.859375,18179.339844,97650000
2016-09-27,18228.300781,18099.210938,18238.099609,18052.160156,84130000
2016-09-26,18094.830078,18217.759766,18217.759766,18083.320313,95510000
2016-09-23,18261.449219,18377.359375,18383.759766,18254.839844,87170000
